experiment,dataset,state,metric,direction,model,n,mean,std,sk_group
acs_age,acs_employment,MD,dp_gap,lower,score_only,10,0.020480334758758545,0.01084844468368467,1
acs_age,acs_employment,MD,dp_gap,lower,no_interaction,10,0.019239288568496705,0.0184332723056955,1
acs_age,acs_employment,MD,dp_gap,lower,reweight,10,0.02701197862625122,0.0184324005143936,2
acs_age,acs_employment,MD,dp_gap,lower,proxy_exhaustive,10,0.029286998510360717,0.019619642125658483,2
acs_age,acs_employment,MD,dp_gap,lower,repair_direct,10,0.03341432809829712,0.0190305656633803,2
acs_age,acs_employment,MD,dp_gap,lower,erm,10,0.1078053891658783,0.02146157901552541,3
acs_age,acs_employment,MD,dp_gap,lower,blind,10,0.08853252530097962,0.019724606903089355,3
acs_age,acs_employment,MD,dp_gap,lower,adv,10,0.09256696701049805,0.033282508551826046,3
acs_age,acs_employment,MD,dp_gap,lower,fairsmote,10,0.15093135833740234,0.019220678786432438,4
acs_age,acs_employment,MD,dp_gap,lower,wrong_spec,10,0.17016159296035765,0.02539246225380251,5
acs_age,acs_employment,MD,eod_gap,lower,proxy_exhaustive,10,0.020592495506546495,0.0112696085516872,1
acs_age,acs_employment,MD,eod_gap,lower,repair_direct,10,0.018957309391622202,0.009850847175821475,1
acs_age,acs_employment,MD,eod_gap,lower,blind,10,0.030630098809715723,0.014848858078433514,2
acs_age,acs_employment,MD,eod_gap,lower,adv,10,0.034376708936701104,0.023152816317788306,2
acs_age,acs_employment,MD,eod_gap,lower,no_interaction,10,0.03319786826961987,0.015646759439035606,2
acs_age,acs_employment,MD,eod_gap,lower,erm,10,0.048821402814550274,0.01961903722372864,3
acs_age,acs_employment,MD,eod_gap,lower,score_only,10,0.041417625537911805,0.019462224177316394,3
acs_age,acs_employment,MD,eod_gap,lower,reweight,10,0.05630905951324126,0.021884781771205186,4
acs_age,acs_employment,MD,eod_gap,lower,fairsmote,10,0.0689860645723026,0.014746280620653435,4
acs_age,acs_employment,MD,eod_gap,lower,wrong_spec,10,0.08983167140887724,0.020357548973844664,5
acs_age,acs_employment,MD,eodds_max_gap,lower,proxy_exhaustive,10,0.031095067192807486,0.01316050817126657,1
acs_age,acs_employment,MD,eodds_max_gap,lower,repair_direct,10,0.027185783804843922,0.01361159939988435,1
acs_age,acs_employment,MD,eodds_max_gap,lower,score_only,10,0.058473841656762955,0.03587081996505058,2
acs_age,acs_employment,MD,eodds_max_gap,lower,no_interaction,10,0.049268261066960736,0.019398357122242627,2
acs_age,acs_employment,MD,eodds_max_gap,lower,erm,10,0.0945446735395189,0.028564525260475503,3
acs_age,acs_employment,MD,eodds_max_gap,lower,blind,10,0.07398083453954417,0.03481327654540145,3
acs_age,acs_employment,MD,eodds_max_gap,lower,reweight,10,0.10357245131729667,0.02947955180953988,3
acs_age,acs_employment,MD,eodds_max_gap,lower,adv,10,0.07808357879234167,0.05710217892595364,3
acs_age,acs_employment,MD,eodds_max_gap,lower,wrong_spec,10,0.20854299623629519,0.04171206919912498,4
acs_age,acs_employment,MD,eodds_max_gap,lower,fairsmote,10,0.1911215431189658,0.032789650236911036,4
acs_age,acs_employment,MD,fpr_gap,lower,proxy_exhaustive,10,0.026526959581083302,0.0166294648578836,1
acs_age,acs_employment,MD,fpr_gap,lower,repair_direct,10,0.021172884961544756,0.01745345701618813,1
acs_age,acs_employment,MD,fpr_gap,lower,score_only,10,0.055699762722958596,0.03838561143936201,2
acs_age,acs_employment,MD,fpr_gap,lower,no_interaction,10,0.04826235477008673,0.020749051977307698,2
acs_age,acs_employment,MD,fpr_gap,lower,erm,10,0.0945446735395189,0.028564525260475503,3
acs_age,acs_employment,MD,fpr_gap,lower,blind,10,0.07248199967272133,0.037237986827608476,3
acs_age,acs_employment,MD,fpr_gap,lower,reweight,10,0.10357245131729667,0.02947955180953988,3
acs_age,acs_employment,MD,fpr_gap,lower,adv,10,0.07808357879234167,0.05710217892595364,3
acs_age,acs_employment,MD,fpr_gap,lower,wrong_spec,10,0.20854299623629519,0.04171206919912498,4
acs_age,acs_employment,MD,fpr_gap,lower,fairsmote,10,0.1911215431189658,0.032789650236911036,4
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,proxy_exhaustive,10,0.22985798567533494,0.09947254507467738,1
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,repair_direct,10,0.2151318982243538,0.08183085789399142,1
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,blind,10,0.3558397561311722,0.17308037580358554,2
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,adv,10,0.35192107409238815,0.14497754104226937,2
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,score_only,10,0.3294297307729721,0.06792001566682393,2
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,no_interaction,10,0.3160472303628922,0.07529119982586589,2
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,erm,10,0.4253858834505081,0.09684764309880857,3
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,reweight,10,0.44605944454669955,0.19050295235957254,3
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,wrong_spec,10,0.5581140369176865,0.7081768276225252,4
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_max,lower,fairsmote,10,0.6752670109272003,0.1249378236687562,4
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,proxy_exhaustive,10,0.04220229536294937,0.017053595354478045,1
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,repair_direct,10,0.0382274828851223,0.012126848092458413,1
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,blind,10,0.07061880454421043,0.0167294712360183,2
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,adv,10,0.07386944964528083,0.030112879243953228,2
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,score_only,10,0.07651383988559246,0.01285084222904401,2
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,no_interaction,10,0.07245399616658688,0.018193726388783853,2
