"experiment","dataset","state","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"acs_age","acs_employment","MD","eod_gap","lower","repair_direct",10,0.0189573093916222,0.00985084717582147,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","no_interaction",10,0.0331978682696199,0.0156467594390356,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","score_only",10,0.0414176255379118,0.0194622241773164,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","erm",10,0.0488214028145503,0.0196190372237286,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","wrong_spec",10,0.0898316714088772,0.0203575489738447,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","repair_direct",10,0.0271857838048439,0.0136115993998843,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","score_guard_global_interaction",10,0.0294310986120997,0.016003586275167,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","no_interaction",10,0.0492682610669607,0.0193983571222426,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","score_only",10,0.058473841656763,0.0358708199650506,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","erm",10,0.0945446735395189,0.0285645252604755,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","wrong_spec",10,0.208542996236295,0.041712069199125,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","repair_direct",10,0.0211728849615448,0.0174534570161881,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","score_guard_global_interaction",10,0.0217527818687612,0.020957565733653,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","no_interaction",10,0.0482623547700867,0.0207490519773077,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","score_only",10,0.0556997627229586,0.038385611439362,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","erm",10,0.0945446735395189,0.0285645252604755,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","wrong_spec",10,0.208542996236295,0.041712069199125,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_max","lower","repair_direct",10,0.215131898224354,0.0818308578939914,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_max","lower","score_guard_global_interaction",10,0.232131592929363,0.0904842429696422,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_max","lower","no_interaction",10,0.316047230362892,0.0752911998258659,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_max","lower","score_only",10,0.329429730772972,0.0679200156668239,2,"ScottKnottESD","2.0.3"
