"experiment","dataset","state","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","fairsmote",10,0.153549465537071,0.0102420311800211,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","erm",10,0.157861426472664,0.0106471901976032,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","wrong_spec",10,0.163862210512161,0.0166303135777328,8,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","proxy_exhaustive",10,0.0287841796875,0.00903426613724679,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","repair_direct",10,0.0326904296875,0.00728473333699951,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","adv",10,0.12596435546875,0.0200601346914858,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","no_interaction",10,0.12869873046875,0.0292735847863318,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","fairsmote",10,0.13345947265625,0.0216015059961121,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","score_only",10,0.1377685546875,0.0084518351656893,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","reweight",10,0.1511962890625,0.0264156320371295,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","erm",10,0.15306396484375,0.015637864009633,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","wrong_spec",10,0.15599365234375,0.0232065941600129,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","no_interaction",10,0.0192392885684967,0.0184332723056955,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","score_only",10,0.0204803347587585,0.0108484446836847,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","reweight",10,0.0270119786262512,0.0184324005143936,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","proxy_exhaustive",10,0.0292869985103607,0.0196196421256585,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","repair_direct",10,0.0334143280982971,0.0190305656633803,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","blind",10,0.0885325253009796,0.0197246069030894,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","adv",10,0.092566967010498,0.033282508551826,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","erm",10,0.107805389165878,0.0214615790155254,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","fairsmote",10,0.150931358337402,0.0192206787864324,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","wrong_spec",10,0.170161592960358,0.0253924622538025,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","repair_direct",10,0.0189573093916222,0.00985084717582147,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","proxy_exhaustive",10,0.0205924955065465,0.0112696085516872,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","blind",10,0.0306300988097157,0.0148488580784335,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","no_interaction",10,0.0331978682696199,0.0156467594390356,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","adv",10,0.0343767089367011,0.0231528163177883,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","score_only",10,0.0414176255379118,0.0194622241773164,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","erm",10,0.0488214028145503,0.0196190372237286,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","reweight",10,0.0563090595132413,0.0218847817712052,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","fairsmote",10,0.0689860645723026,0.0147462806206534,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","wrong_spec",10,0.0898316714088772,0.0203575489738447,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","repair_direct",10,0.0271857838048439,0.0136115993998843,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","proxy_exhaustive",10,0.0310950671928075,0.0131605081712666,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","no_interaction",10,0.0492682610669607,0.0193983571222426,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","score_only",10,0.058473841656763,0.0358708199650506,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","blind",10,0.0739808345395442,0.0348132765454015,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","adv",10,0.0780835787923417,0.0571021789259536,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","erm",10,0.0945446735395189,0.0285645252604755,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","reweight",10,0.103572451317297,0.0294795518095399,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","fairsmote",10,0.191121543118966,0.032789650236911,8,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eodds_max_gap","lower","wrong_spec",10,0.208542996236295,0.041712069199125,9,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","repair_direct",10,0.0211728849615448,0.0174534570161881,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","proxy_exhaustive",10,0.0265269595810833,0.0166294648578836,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","no_interaction",10,0.0482623547700867,0.0207490519773077,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","score_only",10,0.0556997627229586,0.038385611439362,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","blind",10,0.0724819996727213,0.0372379868276085,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","adv",10,0.0780835787923417,0.0571021789259536,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","erm",10,0.0945446735395189,0.0285645252604755,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","reweight",10,0.103572451317297,0.0294795518095399,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","fairsmote",10,0.191121543118966,0.032789650236911,8,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","fpr_gap","lower","wrong_spec",10,0.208542996236295,0.041712069199125,9,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_max","lower","repair_direct",10,0.215131898224354,0.0818308578939914,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_max","lower","proxy_exhaustive",10,0.229857985675335,0.0994725450746774,1,"ScottKnottESD","2.0.3"
