experiment,dataset,state,seed,role,model,AUC,Acc,AOD,EOD,DP,Sgap,Delta2,Proxy,ProxyScore,BndDelta2
hmda_md_race,hmda,MD,4,Final interaction steering,repair_main05,0.8464415502844391,0.8596785934262837,0.005006964250149071,0.005547042563285864,0.059497296810150146,0.04632288217544556,0.007040378171950579,0.016344353556632996,0.09808817505836487,0.008602279238402843
hmda_md_race,hmda,MD,4,Wrong-spec,wrong_spec,0.848181790278266,0.850775519345988,0.20186378245476483,0.1280725521071726,0.22175711393356323,0.19618988037109375,0.6649373769760132,0.631466805934906,1.018071174621582,0.6833438873291016
hmda_md_race,hmda,MD,5,ERM,erm,0.8625503333030732,0.8673497956212554,0.07789347878335906,0.04131921651707082,0.12374258041381836,0.14506930112838745,0.19866551458835602,0.3149556815624237,0.8126683235168457,0.2587614953517914
hmda_md_race,hmda,MD,5,Global score guard,score_only,0.8542511212860808,0.8653620023517554,0.03039451851282482,0.018294944602573304,0.08686959743499756,0.0701780915260315,0.1849505454301834,0.267897367477417,0.05419590324163437,0.24993550777435303
hmda_md_race,hmda,MD,5,Global + boundary score guards,no_interaction,0.8521146022674875,0.8633182149056499,0.00022571832284851157,0.0001884373694143182,0.058332979679107666,0.05231684446334839,0.12985111773014069,0.23975300788879395,0.04139325022697449,0.16614803671836853
hmda_md_race,hmda,MD,5,Score guards + global interaction,score_guard_global_interaction,0.854135274439896,0.8656139761464807,0.010660567199527349,0.004736607210296673,0.06820154190063477,0.05996912717819214,0.003350701415911317,0.01798088848590851,0.044152311980724335,0.003961772192269564
hmda_md_race,hmda,MD,5,Final interaction steering,repair_main05,0.8509317273859616,0.8624783022565653,0.006673817023353568,0.004412958395100808,0.062498390674591064,0.0531962513923645,0.0035953805781900883,0.01100847776979208,0.031037520617246628,0.004524569027125835
hmda_md_race,hmda,MD,5,Wrong-spec,wrong_spec,0.8435364799878395,0.8524273475558541,0.1797077843500733,0.10498160112351496,0.19973969459533691,0.19282585382461548,0.6433809995651245,0.6601743698120117,1.0919944643974304,0.6600485444068909
hmda_md_race,hmda,MD,6,ERM,erm,0.8579985104741623,0.8649980402038188,0.05771976377135052,0.035537177234339135,0.10964620113372803,0.13641494512557983,0.2807254493236542,0.2985630929470062,0.8419915735721588,0.31592604517936707
hmda_md_race,hmda,MD,6,Global score guard,score_only,0.8405578209900182,0.8553110476510443,0.037465667579229034,0.023455292564115826,0.08826100826263428,0.06748920679092407,0.10033199936151505,0.1717374622821808,0.12311092019081116,0.11937588453292847
hmda_md_race,hmda,MD,6,Global + boundary score guards,no_interaction,0.8391036152195032,0.853071280586819,0.007145116500868798,0.008505361265156774,0.06286370754241943,0.05465120077133179,0.08315692842006683,0.16651330888271332,0.07130669429898262,0.09716889262199402
