experiment,dataset,state,seed,role,model,AUC,Acc,AOD,EOD,DP,Sgap,Delta2,Proxy,ProxyScore,BndDelta2
acs_age,acs_employment,MD,1,Final interaction steering,repair_direct,0.7462847459904722,0.7197372536753206,0.037247474885567566,0.026589533309017588,0.07721161842346191,0.03156799077987671,0.03760460764169693,0.0250259842723608,0.06220041587948799,0.04041280224919319
acs_age,acs_employment,MD,1,Wrong-spec,wrong_spec,0.7498464897787092,0.7076425815869044,0.18252200489817977,0.1117200857250128,0.19967663288116455,0.15201950073242188,0.37394970655441284,0.4561775028705597,0.7147085666656494,0.401041179895401
acs_age,acs_employment,MD,2,ERM,erm,0.7588300415749984,0.7193201960170994,0.03918709967486553,0.016477619411913946,0.07750028371810913,0.11760491132736206,0.29898351430892944,0.26204636693000793,0.5907531380653381,0.32047921419143677
acs_age,acs_employment,MD,2,Global score guard,score_only,0.7514392841901681,0.7168178500677719,0.03677746950461236,0.04225891544515992,0.008399605751037598,0.019866108894348145,0.2620146870613098,0.21591489017009735,0.0419861301779747,0.2926536500453949
acs_age,acs_employment,MD,2,Global + boundary score guards,no_interaction,0.7522088491456794,0.7187988739443228,0.022576112917903846,0.023746154816334575,0.024127662181854248,0.02403426170349121,0.2569401264190674,0.20839890837669373,0.0411747545003891,0.2857113778591156
acs_age,acs_employment,MD,2,Score guards + global interaction,score_guard_global_interaction,0.7440365581342384,0.7148368261912209,0.011013031441678423,0.021146501436785092,0.03137022256851196,0.025998175144195557,0.03916318714618683,0.03256914019584656,0.04910017549991608,0.04251950979232788
acs_age,acs_employment,MD,2,Final interaction steering,repair_direct,0.7440332169755759,0.7147325617766657,0.011858937681073045,0.021989434845045785,0.031637489795684814,0.02531301975250244,0.03941825032234192,0.030357208102941513,0.04851279780268669,0.042539745569229126
acs_age,acs_employment,MD,2,Wrong-spec,wrong_spec,0.752692035611442,0.714524032947555,0.11087670399887689,0.05916749734483284,0.13801950216293335,0.1431524157524109,0.3796645402908325,0.4374825954437256,0.6717597544193268,0.4010356068611145
acs_age,acs_employment,MD,3,ERM,erm,0.7580074300045567,0.7147325617766657,0.03327163869919625,0.02005947769294336,0.07342052459716797,0.11969214677810669,0.3685673475265503,0.3072091042995453,0.6071851551532745,0.38178855180740356
acs_age,acs_employment,MD,3,Global score guard,score_only,0.7516893676275961,0.7150453550203315,0.07511647559718762,0.07199289228421324,0.029521048069000244,0.008940398693084717,0.21662844717502594,0.22088277339935303,0.03340703155845404,0.23683713376522064
acs_age,acs_employment,MD,3,Global + boundary score guards,no_interaction,0.7502253680171843,0.7127515379001147,0.07588623427613503,0.06861300201651488,0.028491675853729248,0.005171000957489014,0.23087982833385468,0.2244141846895218,0.058509476482868195,0.246982604265213
acs_age,acs_employment,MD,3,Score guards + global interaction,score_guard_global_interaction,0.7449936170138757,0.7134813888020018,0.015305950831270065,0.027144793169658454,0.023493528366088867,0.012431800365447998,0.03679846227169037,0.03482712805271149,0.044764332473278046,0.0414716862142086
acs_age,acs_employment,MD,3,Final interaction steering,repair_direct,0.7442326566861527,0.7129600667292253,0.01794770021914366,0.026792962212137783,0.021461069583892822,0.012073934078216553,0.036493733525276184,0.03197643905878067,0.04367717355489731,0.04118141531944275
