experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_intersectional_age_race,acs_employment,MD,erm,behavior,sDP,10,0.1903250785702794,0.024130502303924627,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,sEOD,10,0.09926746834460905,0.023244248554014087,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,sEOdds_max,10,0.20608295173722885,0.03760266121971118,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,sFPR,10,0.20608295173722885,0.03760266121971118,lower
acs_intersectional_age_race,acs_employment,MD,erm,mechanism,D2age,10,0.3156277030706406,0.054072040848794536,lower
acs_intersectional_age_race,acs_employment,MD,erm,mechanism,D2ar,10,0.28203760385513305,0.07250438213302492,lower
acs_intersectional_age_race,acs_employment,MD,erm,mechanism,D2race,10,0.15943205803632737,0.04185694790554312,lower
acs_intersectional_age_race,acs_employment,MD,erm,mechanism,D3,10,0.1811140425503254,0.06181589989354561,lower
acs_intersectional_age_race,acs_employment,MD,erm,mechanism,Gsub,10,0.5052492767572403,0.10289041946769217,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,accuracy,10,0.7124512238382406,0.003372604490385626,higher
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,aod_age,10,0.021180563760964215,0.012200005788786238,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,aod_excess,10,0.06113603221933717,0.019133170491041775,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,aod_race,10,0.08121373076990394,0.018721628774585018,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,auc,10,0.7574052061693827,0.002973728246954026,higher
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,bce,10,0.5623778036311637,0.0038867427148420626,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,dp_age,10,0.052832125035307397,0.022549012628709945,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,dp_race,10,0.08964615848046653,0.018428796525956716,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,eod_age,10,0.01776395199435802,0.015135531115742245,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,eod_excess,10,0.04427989199720635,0.018163539602730344,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,eod_race,10,0.053037022481849674,0.019403598617958987,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,eodds_max_age,10,0.030970391450684847,0.01642231302871236,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,eodds_max_race,10,0.10939043905795823,0.0245109593470166,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,fpr_age,10,0.024597175527570413,0.018927189949845352,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,fpr_race,10,0.10939043905795823,0.0245109593470166,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,sAOD,10,0.14234976298924112,0.024675360396891072,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,sDP,10,0.17110890520263014,0.022298986070325103,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,sEOD,10,0.09953429830781267,0.02899845620104422,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,sEOdds_max,10,0.18617052387570904,0.03239152169860747,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,behavior,sFPR,10,0.18586475404290873,0.03314740096524969,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,mechanism,D2age,10,0.3604641258716583,0.032003089780373355,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,mechanism,D2ar,10,0.22741317600011826,0.03939384627067179,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,mechanism,D2race,10,0.18927646726369857,0.030410112205196318,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,mechanism,D3,10,0.19029137194156648,0.0371048389332211,lower
acs_intersectional_age_race,acs_employment,MD,no_effect,mechanism,Gsub,10,0.5769685834646225,0.06532429508422903,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,accuracy,10,0.7066453825233534,0.003014390502576569,higher
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,aod_age,10,0.017062549697596012,0.008003637623282859,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,aod_excess,10,0.041646464180677426,0.02908848935226353,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,aod_race,10,0.03790232866110267,0.010905855323969578,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,auc,10,0.7518330198436898,0.0037995884367997028,higher
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,bce,10,0.5701679804864351,0.004180300331195011,lower
