experiment,dataset,state,seed,source,model,selector,val_auc,test_auc,floor,pass
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,reweight,utility_only,0.738298996082476,0.7535243466562047,0.73,True
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,adv,utility_only,0.7492136880453135,0.7617507163876638,0.73,True
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,r1_joint_marginal,utility_guard_plus_marginal_mechanism,0.7459675910138153,0.7562757079535547,0.73,True
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,r3_intersectional,utility_guard_plus_mechanism,0.7480305292400335,0.7616215005756242,0.73,True
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,r4_r1plus,utility_guard_plus_marginal_mechanism,0.7423164336391386,0.7567849702715929,0.73,True
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,no_effect,utility_only,0.7490241539062955,0.7616412337595896,0.73,True
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,wrong_d3,utility_guard_plus_wrong_spec,0.7447273536334829,0.7576061045993228,0.73,True
hmda_race,hmda,OH,5,oh_ladder,erm,utility_only,0.8577190197387823,0.85865515656529,0.84,True
hmda_race,hmda,OH,5,oh_ladder,blind,utility_only,0.8563663006587182,0.8586908922634267,0.84,True
hmda_race,hmda,OH,5,oh_ladder,reweight,utility_only,0.8478047351053806,0.8492672392021667,0.84,True
hmda_race,hmda,OH,5,oh_ladder,adv,utility_only,0.8578689701346325,0.8589559705691369,0.84,True
hmda_race,hmda,OH,5,oh_ladder,score_only,utility_guard_plus_score_control,0.8459656350948501,0.8478424901313502,0.84,True
hmda_race,hmda,OH,5,oh_ladder,proxy_effect,utility_guard_plus_mechanism,0.8444579325009209,0.8462340091361849,0.84,True
hmda_race,hmda,OH,5,oh_ladder,proxy_exhaustive,utility_guard_plus_mechanism,0.8537517822819799,0.8537656685659523,0.84,True
hmda_race,hmda,OH,5,oh_ladder,repair_main0,utility_guard_plus_mechanism,0.8485692988631734,0.8501128915922107,0.84,True
hmda_race,hmda,OH,5,oh_ladder,repair_full,utility_guard_plus_mechanism,0.8459632601367079,0.8466148206679336,0.84,True
hmda_race,hmda,OH,5,oh_ladder,wrong_spec,utility_guard_plus_wrong_spec,0.8437122612508542,0.8441032961205597,0.84,True
hmda_race,hmda,OH,5,repair_main05,repair_main05,utility_guard_plus_mechanism,0.8485239756518503,0.849690212091922,0.84,True
hmda_race,hmda,OH,5,no_interaction,no_interaction,utility_guard_plus_score_control,0.8515659602515503,0.852823059260662,0.84,True
adult_gender,adult,-,5,adult_gender,erm,utility_only,0.9081291329688161,0.9121384830090835,0.895,True
adult_gender,adult,-,5,adult_gender,blind,utility_only,0.9070781751262935,0.910313285986675,0.895,True
adult_gender,adult,-,5,adult_gender,reweight,utility_only,0.8991345732074603,0.9022375013489746,0.895,True
adult_gender,adult,-,5,adult_gender,adv,utility_only,0.9083011736074853,0.911002787378135,0.895,True
adult_gender,adult,-,5,adult_gender,score_only,utility_guard_plus_score_control,0.9032557364563616,0.9057226746923714,0.895,True
adult_gender,adult,-,5,adult_gender,repair_direct,utility_guard_plus_mechanism,0.8967886757966164,0.8985158394857282,0.895,True
adult_gender,adult,-,5,adult_gender,wrong_spec,utility_guard_plus_wrong_spec,0.9031359901087418,0.9069149518571791,0.895,True
adult_gender,adult,-,5,no_interaction,no_interaction,utility_guard_plus_score_control,0.8986737771356067,0.8999706995510062,0.895,True
acs_age,acs_employment,MD,5,acs_age,erm,utility_only,0.7568783566058003,0.7596764302951002,0.748,True
acs_age,acs_employment,MD,5,acs_age,blind,utility_only,0.7450353155616314,0.7511618307132852,0.748,False
acs_age,acs_employment,MD,5,acs_age,reweight,utility_only,0.7505756680662695,0.7544512700705233,0.748,True
acs_age,acs_employment,MD,5,acs_age,adv,utility_only,0.7560924633011099,0.7581179399715535,0.748,True
acs_age,acs_employment,MD,5,acs_age,score_only,utility_guard_plus_score_control,0.7480829915698337,0.7509591184979909,0.748,True
acs_age,acs_employment,MD,5,acs_age,proxy_exhaustive,utility_guard_plus_mechanism,0.7484290677993686,0.7512134127107196,0.748,True
acs_age,acs_employment,MD,5,acs_age,repair_direct,utility_guard_plus_mechanism,0.7484074227777235,0.7515039790911207,0.748,True
acs_age,acs_employment,MD,5,acs_age,wrong_spec,utility_guard_plus_wrong_spec,0.7480051996875305,0.7519825199732634,0.748,True
acs_age,acs_employment,MD,5,no_interaction,no_interaction,utility_guard_plus_score_control,0.7484341942518635,0.7512166623307887,0.748,True
acs_intersectional_age_race,acs_employment,MD,5,acs_intersectional_age_race,erm,utility_only,0.7615469749394905,0.7610420465913629,0.73,True
acs_intersectional_age_race,acs_employment,MD,5,acs_intersectional_age_race,blind,utility_only,0.7499199964234919,0.7486566525386814,0.73,True
