experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_age,acs_employment,MD,proxy_exhaustive,behavior,eodds_max_gap,10,0.031095067192807486,0.01316050817126657,lower
acs_age,acs_employment,MD,proxy_exhaustive,behavior,fpr_gap,10,0.026526959581083302,0.0166294648578836,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,boundary_proxy_effect_gap_max,10,0.2345144420862198,0.03270454271844149,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,boundary_proxy_effect_gap_mean,10,0.05559996291995049,0.008823648121875806,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,boundary_proxy_score_gap_cond_mean,10,0.0317379024811089,0.02071955618290875,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,cf_abs_prob_mean,10,0.028670383989810942,0.002628112900334752,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,cf_flip_rate,10,0.0287841796875,0.009034266137246791,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.22985798567533494,0.09947254507467738,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.04220229536294937,0.017053595354478045,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,main_abs_logit_mean,10,0.15189432501792907,0.016020690012828763,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,pair_abs_max,10,0.3195097059011459,0.050119322864090626,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,pair_abs_mean,10,0.0385445386171341,0.002310953703684884,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,pair_abs_q95,10,0.10287707149982453,0.00606955130550785,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,proxy_effect_gap_max,10,0.12166785895824432,0.023204159974356126,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,proxy_effect_gap_mean,10,0.03125337660312653,0.003023923370855985,lower
acs_age,acs_employment,MD,proxy_exhaustive,mechanism,proxy_score_gap_cond_mean,10,0.03886864278465509,0.019611997191527095,lower
acs_age,acs_employment,MD,repair_direct,behavior,accuracy,10,0.7122302158273381,0.004698458865219815,higher
acs_age,acs_employment,MD,repair_direct,behavior,aod_gap,10,0.02006509717658348,0.01104782963457805,lower
acs_age,acs_employment,MD,repair_direct,behavior,auc,10,0.7419972384637115,0.004901945277410062,higher
acs_age,acs_employment,MD,repair_direct,behavior,dp_gap,10,0.03341432809829712,0.0190305656633803,lower
acs_age,acs_employment,MD,repair_direct,behavior,eod_gap,10,0.018957309391622202,0.009850847175821475,lower
acs_age,acs_employment,MD,repair_direct,behavior,eodds_max_gap,10,0.027185783804843922,0.01361159939988435,lower
acs_age,acs_employment,MD,repair_direct,behavior,fpr_gap,10,0.021172884961544756,0.01745345701618813,lower
acs_age,acs_employment,MD,repair_direct,mechanism,boundary_proxy_effect_gap_max,10,0.21658675670623778,0.03147485459965065,lower
acs_age,acs_employment,MD,repair_direct,mechanism,boundary_proxy_effect_gap_mean,10,0.05006900057196617,0.005947461777307047,lower
acs_age,acs_employment,MD,repair_direct,mechanism,boundary_proxy_score_gap_cond_mean,10,0.026151020685210823,0.02571977895189176,lower
acs_age,acs_employment,MD,repair_direct,mechanism,cf_abs_prob_mean,10,0.029362683929502965,0.0027821672939026955,lower
acs_age,acs_employment,MD,repair_direct,mechanism,cf_flip_rate,10,0.0326904296875,0.007284733336999505,lower
acs_age,acs_employment,MD,repair_direct,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.2151318982243538,0.08183085789399142,lower
acs_age,acs_employment,MD,repair_direct,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.0382274828851223,0.012126848092458413,lower
acs_age,acs_employment,MD,repair_direct,mechanism,main_abs_logit_mean,10,0.15537503808736802,0.016261224812759035,lower
acs_age,acs_employment,MD,repair_direct,mechanism,pair_abs_max,10,0.321417635679245,0.038513564426698635,lower
acs_age,acs_employment,MD,repair_direct,mechanism,pair_abs_mean,10,0.03828604891896248,0.0026041270116863875,lower
acs_age,acs_employment,MD,repair_direct,mechanism,pair_abs_q95,10,0.10235190708190203,0.006529619712154248,lower
acs_age,acs_employment,MD,repair_direct,mechanism,proxy_effect_gap_max,10,0.10808896273374557,0.01974855663499406,lower
acs_age,acs_employment,MD,repair_direct,mechanism,proxy_effect_gap_mean,10,0.029286878183484077,0.0018823372747990284,lower
acs_age,acs_employment,MD,repair_direct,mechanism,proxy_score_gap_cond_mean,10,0.03888407051563263,0.01981473319442615,lower
acs_age,acs_employment,MD,reweight,behavior,accuracy,10,0.705359190908143,0.004511288803622564,higher
acs_age,acs_employment,MD,reweight,behavior,aod_gap,10,0.07994075541526896,0.022723661433829135,lower
acs_age,acs_employment,MD,reweight,behavior,auc,10,0.749091303247771,0.004242890816509511,higher
acs_age,acs_employment,MD,reweight,behavior,dp_gap,10,0.02701197862625122,0.0184324005143936,lower
acs_age,acs_employment,MD,reweight,behavior,eod_gap,10,0.05630905951324126,0.021884781771205186,lower
acs_age,acs_employment,MD,reweight,behavior,eodds_max_gap,10,0.10357245131729667,0.02947955180953988,lower
acs_age,acs_employment,MD,reweight,behavior,fpr_gap,10,0.10357245131729667,0.02947955180953988,lower
acs_age,acs_employment,MD,reweight,mechanism,boundary_proxy_effect_gap_max,10,0.8326619565486908,0.07404788148474993,lower
acs_age,acs_employment,MD,reweight,mechanism,boundary_proxy_effect_gap_mean,10,0.2883631870150566,0.05090386170297215,lower
acs_age,acs_employment,MD,reweight,mechanism,boundary_proxy_score_gap_cond_mean,10,0.1636453252285719,0.03524578387606449,lower
acs_age,acs_employment,MD,reweight,mechanism,cf_abs_prob_mean,10,0.1270552881062031,0.02034950538877856,lower
acs_age,acs_employment,MD,reweight,mechanism,cf_flip_rate,10,0.1511962890625,0.026415632037129464,lower
acs_age,acs_employment,MD,reweight,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.44605944454669955,0.19050295235957254,lower
acs_age,acs_employment,MD,reweight,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.09678725078701973,0.04066214946508841,lower
acs_age,acs_employment,MD,reweight,mechanism,main_abs_logit_mean,10,0.6810477405786515,0.12664193668829435,lower
acs_age,acs_employment,MD,reweight,mechanism,pair_abs_max,10,1.99241783618927,0.7601218271104762,lower
acs_age,acs_employment,MD,reweight,mechanism,pair_abs_mean,10,0.30419591069221497,0.08722189039482187,lower
acs_age,acs_employment,MD,reweight,mechanism,pair_abs_q95,10,0.7974040448665619,0.23033202137413453,lower
acs_age,acs_employment,MD,reweight,mechanism,proxy_effect_gap_max,10,0.9030267119407653,0.1287940633012613,lower
acs_age,acs_employment,MD,reweight,mechanism,proxy_effect_gap_mean,10,0.2687517896294594,0.04730371439370799,lower
acs_age,acs_employment,MD,reweight,mechanism,proxy_score_gap_cond_mean,10,0.1798538200557232,0.05122475361695798,lower
acs_age,acs_employment,MD,score_only,behavior,accuracy,10,0.7129287874048587,0.00454479375335272,higher
acs_age,acs_employment,MD,score_only,behavior,aod_gap,10,0.048558694130435204,0.027617733902826482,lower
acs_age,acs_employment,MD,score_only,behavior,auc,10,0.7473215464273677,0.004440419517026198,higher
acs_age,acs_employment,MD,score_only,behavior,dp_gap,10,0.020480334758758545,0.01084844468368467,lower
acs_age,acs_employment,MD,score_only,behavior,eod_gap,10,0.041417625537911805,0.019462224177316394,lower
acs_age,acs_employment,MD,score_only,behavior,eodds_max_gap,10,0.058473841656762955,0.03587081996505058,lower
acs_age,acs_employment,MD,score_only,behavior,fpr_gap,10,0.055699762722958596,0.03838561143936201,lower
acs_age,acs_employment,MD,score_only,mechanism,boundary_proxy_effect_gap_max,10,0.6229699075222015,0.0712852441104647,lower
acs_age,acs_employment,MD,score_only,mechanism,boundary_proxy_effect_gap_mean,10,0.2387174740433693,0.020386802035193975,lower
acs_age,acs_employment,MD,score_only,mechanism,boundary_proxy_score_gap_cond_mean,10,0.055311023443937304,0.029948325421101457,lower
acs_age,acs_employment,MD,score_only,mechanism,cf_abs_prob_mean,10,0.09094335064291954,0.006522606305782636,lower
acs_age,acs_employment,MD,score_only,mechanism,cf_flip_rate,10,0.1377685546875,0.008451835165689302,lower
acs_age,acs_employment,MD,score_only,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.3294297307729721,0.06792001566682393,lower
acs_age,acs_employment,MD,score_only,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.07651383988559246,0.01285084222904401,lower
acs_age,acs_employment,MD,score_only,mechanism,main_abs_logit_mean,10,0.4696614146232605,0.030711335253822355,lower
acs_age,acs_employment,MD,score_only,mechanism,pair_abs_max,10,1.320064866542816,0.18234609754871445,lower
acs_age,acs_employment,MD,score_only,mechanism,pair_abs_mean,10,0.22471452206373216,0.020062972553665542,lower
acs_age,acs_employment,MD,score_only,mechanism,pair_abs_q95,10,0.6048845887184143,0.0632927071108404,lower
acs_age,acs_employment,MD,score_only,mechanism,proxy_effect_gap_max,10,0.5877535313367843,0.060161232184270295,lower
