transfer_kind,source_state,target_state,model_variant,n,behavior_auc_mean,behavior_auc_std,behavior_accuracy_mean,behavior_accuracy_std,behavior_aod_gap_mean,behavior_aod_gap_std,behavior_eod_gap_mean,behavior_eod_gap_std,behavior_eodds_max_gap_mean,behavior_eodds_max_gap_std,behavior_dp_gap_mean,behavior_dp_gap_std,source_threshold_auc_mean,source_threshold_auc_std,source_threshold_accuracy_mean,source_threshold_accuracy_std,source_threshold_aod_gap_mean,source_threshold_aod_gap_std,source_threshold_eod_gap_mean,source_threshold_eod_gap_std,source_threshold_eodds_max_gap_mean,source_threshold_eodds_max_gap_std,source_threshold_dp_gap_mean,source_threshold_dp_gap_std,mechanism_pair_abs_mean_mean,mechanism_pair_abs_mean_std,mechanism_pair_abs_q95_mean,mechanism_pair_abs_q95_std,mechanism_main_abs_logit_mean_mean,mechanism_main_abs_logit_mean_std,mechanism_cf_abs_prob_mean_mean,mechanism_cf_abs_prob_mean_std,mechanism_cf_flip_rate_mean,mechanism_cf_flip_rate_std,mechanism_proxy_score_gap_cond_mean_mean,mechanism_proxy_score_gap_cond_mean_std,mechanism_proxy_effect_gap_mean_mean,mechanism_proxy_effect_gap_mean_std,mechanism_boundary_proxy_score_gap_cond_mean_mean,mechanism_boundary_proxy_score_gap_cond_mean_std,mechanism_boundary_proxy_effect_gap_mean_mean,mechanism_boundary_proxy_effect_gap_mean_std,mechanism_higher_order_proxy_gap_scope_mean_mean,mechanism_higher_order_proxy_gap_scope_mean_std,mechanism_higher_order_boundary_proxy_gap_scope_mean_mean,mechanism_higher_order_boundary_proxy_gap_scope_mean_std
cross,PA,OH,no_interaction,10,0.8460766935196553,0.0036624566306373576,0.8671081647088194,0.002714347939310984,0.0107342982345828,0.005158384481661915,0.0069402792513220905,0.0034385782308994856,0.015112265845165628,0.007376166326559666,0.05399700999259949,0.005265869500849887,0.8460766935196553,0.0036624566306373576,0.8623483072826374,0.006723535948550085,0.00606287430918806,0.0038626260704000366,0.0026732419148740695,0.002094634964678208,0.010417832170668972,0.007328698654955865,0.04757944345474243,0.0104603318889054,0.17542723193764687,0.03546802270654764,0.5135984970629214,0.09809178189960911,0.25721576511859895,0.022812800692873163,0.02995528094470501,0.002553992771120666,0.0228759765625,0.0033092839205380625,0.11980413533747196,0.07173818151090013,0.28507975935935975,0.030405990407441068,0.04933038130402565,0.02388323480459764,0.22597740590572357,0.04743898253184283,0.09743403941392899,0.02019408184229804,0.11865160465240479,0.030171172687831097
cross,PA,OH,repair_main0,10,0.8484010771046954,0.001652719109717845,0.8691621707834625,0.0010386426579369423,0.009660711385117532,0.0038783194875426042,0.0022047005796118624,0.0016268839440558346,0.01754937489757157,0.0072729548236545585,0.06685891151428222,0.005096842834366449,0.8484010771046954,0.001652719109717845,0.8516816221239061,0.021968517088737476,0.009182957966888335,0.004060950447341044,0.0046275962782960645,0.006083513576638657,0.014664049542350227,0.004795821712184445,0.053105831146240234,0.015142186732889477,0.0059100980404764416,0.0007402013873777574,0.016458822786808013,0.0022607481935148395,0.08747851103544235,0.032424410560887656,0.009878567093983293,0.004066696897579321,0.00535888671875,0.002430837857034367,0.08806201331317424,0.04618646431364666,0.03739091902971268,0.01066566748267561,0.06416559889912606,0.027731531930764556,0.0517285892739892,0.019979793643319824,0.05588899590075016,0.009438088061471455,0.05172724798321724,0.013456234705230361
cross,PA,OH,repair_main05,10,0.8463446581134392,0.0018376475042100944,0.8674937242555789,0.0011830487108434396,0.010769985185914405,0.003745604771100348,0.0023379715093927666,0.0019256744042968035,0.019241630656890753,0.00817836969587818,0.066529780626297,0.004534474616759968,0.8463446581134392,0.0018376475042100944,0.858636949918866,0.009210886166486451,0.005804111314131477,0.0032060853566535192,0.0014074425843854988,0.0012567094945435536,0.010200780043877455,0.006939056494170587,0.04888187050819397,0.01307679101628764,0.0032522613648325203,0.0008269675722975441,0.010551466234028337,0.0029951871458531506,0.004482265340629965,0.002082525963510312,0.0005686918419087305,0.0002735592393257584,0.00028076171875,0.00018242603980680254,0.08926665997132659,0.037868494022747105,0.03597216475754976,0.007870867521558435,0.05115843378007412,0.023674770297512995,0.04806853793561459,0.009878308183600453,0.04891244489699602,0.01278759814868989,0.046117962896823884,0.006399378769357308
cross,PA,OH,reweight,10,0.8423360006392814,0.00226352155190391,0.8242264538230033,0.004562923027343823,0.012294803178008818,0.007909426155988915,0.012439935437028437,0.009930212372728876,0.017047686878033857,0.010152982089711587,0.07042663097381592,0.011744416583047715,0.8423360006392814,0.00226352155190391,0.8610085572028904,0.0068180478194074905,0.012284243143534828,0.006064316324768567,0.005725571685623343,0.007279766772239465,0.019578593142039746,0.009401120948838361,0.04607628583908081,0.00817346384254835,0.40429349839687345,0.19480464911918574,1.1020375579595565,0.52228596833395,0.5940922021865844,0.2622608315241607,0.0760711207985878,0.022586643752373306,0.0733642578125,0.013036972216624011,0.2764206677675247,0.13353919850633938,0.2918537586927414,0.04727317642439439,0.04619252411648631,0.02393871556191296,0.27908306270837785,0.06407476521073163,0.1952385999262333,0.06763938706002379,0.20671967417001724,0.06994078966949442
cross,PA,OH,score_only,10,0.8474509486025694,0.0023024978674267855,0.868341123115543,0.001959537257899916,0.026385860129886703,0.014893442501956225,0.008673178779315139,0.006059526230043881,0.04435998851865537,0.02437085555854371,0.08412308096885682,0.013848021524505677,0.8474509486025694,0.0023024978674267855,0.8640472657170992,0.009081755375262537,0.007738306398337033,0.00401447632025658,0.004657688607188404,0.0036794154713202325,0.011361907061573306,0.0064921886150136315,0.05123850703239441,0.008723788029355103,0.20206508934497833,0.044724615884320314,0.5772696314752102,0.1326578590792098,0.2866984874010086,0.038463884244454925,0.029219420440495015,0.003344762256892853,0.0204833984375,0.0035963239067732665,0.12708017826080323,0.07822485662886804,0.31004704236984254,0.03027036542785334,0.0419900706037879,0.015076874576645406,0.280270928144455,0.043876004176162525,0.10421735271811486,0.021270392565717354,0.12601951658725738,0.02615440800376925
cross,PA,OH,wrong_spec,10,0.8427697915429089,0.0026438589244929026,0.8631513251875788,0.001647893544106967,0.25014662735649806,0.0399251206744335,0.18415201395570352,0.047170075708288496,0.3161412407572926,0.035118175936681276,0.28460453748703,0.04390711981000647,0.8427697915429089,0.0026438589244929026,0.8553694021053216,0.010862150141499367,0.012262240658036999,0.006475775547860729,0.004285531937671494,0.0036946249729048848,0.020238949378402503,0.013327906880033017,0.04431416392326355,0.019574262150747795,0.817113709449768,0.10009432080508149,1.3211224895715712,0.1946670888841484,0.9057745635509491,0.16891503013428563,0.12436909154057503,0.027053674125903773,0.129150390625,0.03147079035872496,1.1975285679101944,0.26793443548028917,0.6848203212022781,0.12297014312679803,0.14449248276650906,0.029741513640224444,0.7047605514526367,0.12386767117178546,0.1210105650126934,0.03272758950368449,0.14554366692900658,0.03130005114408505
cross,PA,VA,adv,10,0.8556115156681985,0.0031776987708540707,0.8741351656402843,0.0017603019063736375,0.07475982386709445,0.0244825161227868,0.04076699290452277,0.016076725896761363,0.10875265482966612,0.03345012775116038,0.11393172740936279,0.02095463869167218,0.8556115156681985,0.0031776987708540707,0.8660442367477872,0.003754366363866552,0.01689585496384876,0.012217310554322599,0.004442886548205527,0.005311232915634141,0.02934882337949199,0.02032202043510851,0.03598405122756958,0.008446264235146056,0.2615032583475113,0.0675670091282344,0.7079413214325904,0.20370236840349687,0.43653135001659393,0.08199556842383626,0.04804678373038769,0.011040771794773249,0.03492431640625,0.008784813501405668,0.6262958347797394,0.1965786708336344,0.25553513020277024,0.04967091723887262,0.03455494467634708,0.026643662693392734,0.25061377733945844,0.07056928425414236,0.12748991400003434,0.04391294550292163,0.12739876396954058,0.04852038487748564
cross,PA,VA,blind,10,0.8548524210937105,0.00235725968484518,0.8743054592978357,0.0010958488993467277,0.03538208059394985,0.004449831330515385,0.016363161556036086,0.0035628330566709644,0.05440099963186361,0.01004169386260585,0.0810240387916565,0.003243936391915841,0.8548524210937105,0.00235725968484518,0.8661293835765628,0.006169777165316441,0.022308241164821923,0.016446675436058933,0.00550556708596589,0.008728322462709335,0.039110915243677956,0.02544419516669675,0.031669408082962036,0.008178540908126447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3678364917635918,0.11374917805017026,0.18404456228017807,0.015189288612450285,0.043739796802401545,0.026833491297190135,0.16369857415556907,0.0327108194619236,0.10916919410228729,0.017469126796229903,0.1191111221909523,0.022928094703594432
cross,PA,VA,erm,10,0.8549079295172722,0.002899188635065929,0.87497277281638,0.0014653472502776062,0.08440763129953473,0.012562358467938278,0.045234782322684,0.009258882100798279,0.12358048027638546,0.017600297905674186,0.12163255214691163,0.010497169793986712,0.8549079295172722,0.002899188635065929,0.8674600502960338,0.006901428406045829,0.019051499269306583,0.012699900832034927,0.005999382306630596,0.008748369967084505,0.032103616231982574,0.018985655828037424,0.037830275297164914,0.008342878128905235,0.34322626888751984,0.03170486057302371,0.9685099175572394,0.11131893910706836,0.6627683520317078,0.03297744811758429,0.07032454945147038,0.00458879137306546,0.04158935546875,0.004244681982951917,0.8320752173662186,0.1368730460330811,0.2781583607196808,0.03860027689592646,0.0395722895860672,0.016593632297536593,0.2604113340377808,0.054187845282285325,0.16463520675897597,0.027989264969046957,0.1661301150918007,0.03574355961660159
cross,PA,VA,no_interaction,10,0.8495351541449405,0.0038408435903154485,0.8704738520029306,0.0023153242023518012,0.013533465620514412,0.00990514176145275,0.003532609603105108,0.0015433927416714614,0.023534321637923718,0.018693014836513016,0.04092555642127991,0.006719288390905801,0.8495351541449405,0.0038408435903154485,0.863018554088038,0.008152495754289293,0.008303056292392641,0.006135190913709831,0.0012988956958208675,0.0009024901960209241,0.015307216888964414,0.011897961049056719,0.036089688539505005,0.008394483989725017,0.16096145212650298,0.03852878703694255,0.47552896603941913,0.1086560424819418,0.2870502769947052,0.02694871462437923,0.03035808764398098,0.0031946025809052947,0.019091796875,0.003897423839421738,0.09793483950197697,0.061621890563227893,0.22174992114305497,0.03228029464719836,0.04955780580639839,0.031283192340424544,0.15977304205298423,0.035394045736186125,0.0678908184170723,0.018537489865772448,0.07540896013379098,0.01692127745933264
cross,PA,VA,repair_main0,10,0.8532848288198844,0.0033499519240831237,0.8728520227322232,0.0017023339787164925,0.008034682620052209,0.006554792691696434,0.0024107975738058784,0.0018376303420356006,0.013658567666298537,0.01208261617982218,0.0528795063495636,0.0056500582725349515,0.8532848288198844,0.0033499519240831237,0.8578206372151046,0.016402568594712227,0.013995706617912763,0.010737513040620305,0.0047604147366892115,0.009246345223826977,0.023245153784693617,0.015959132880507612,0.04000739455223083,0.008869245137485892,0.0060235483571887015,0.0006823545119340773,0.01681945979595184,0.0020484086397198386,0.08737645745277405,0.0319947069377468,0.009042946808040141,0.003616571670844006,0.00416259765625,0.0021434456216518887,0.08406617753207683,0.058434307850456724,0.039456271752715114,0.009292959600542175,0.042687864229083064,0.022154032402684067,0.05058747604489326,0.015709957476610994,0.0456170205026865,0.010679980678124255,0.04130296502262354,0.012588978151899582
cross,PA,VA,repair_main05,10,0.8519293753663071,0.002549372435425404,0.8711946298093107,0.0016545303529071206,0.011936904558257794,0.008674469838784641,0.004406120163438787,0.001962389239257672,0.019793872927212085,0.01604330401232027,0.05441988706588745,0.006859409971583478,0.8519293753663071,0.002549372435425404,0.8600938595275341,0.011571822486438328,0.010912864984032683,0.0071069589050773395,0.001671360472412209,0.0011603459032883045,0.020154369495653156,0.013854771225217673,0.04135889410972595,0.010307858812340202,0.0031575462897308173,0.000816911982424933,0.010036573112010956,0.002794443166964599,0.004527130094356835,0.002026061817787141,0.0005141844070749357,0.00023459380367350538,0.00035400390625,0.00024038176249579964,0.12291336618363857,0.06695441844072578,0.03277509212493897,0.008003860394034414,0.030926956795156002,0.022248508416028736,0.04165054690092802,0.01046586159253919,0.03511770367622376,0.011346975462175491,0.033298862352967265,0.006639886359222652
cross,PA,VA,reweight,10,0.840732398737497,0.0070318915757897815,0.8407853309835449,0.005646576376922262,0.0206149232730199,0.009576200220995323,0.010306815367720202,0.005253160255135346,0.030931984387324758,0.016323585515080296,0.04996792078018188,0.008503400665850138,0.840732398737497,0.0070318915757897815,0.8621987683412209,0.006621824291726494,0.014015405155157593,0.011396931858612899,0.002717929784729678,0.0037899349363420144,0.02531288052558551,0.02071250552694424,0.035095351934432986,0.007408175039239015,0.34141216725111007,0.1552370423157216,0.9321535608172414,0.41600597821084284,0.5342184126377105,0.18239320751217117,0.0707207139581442,0.016538614107794922,0.0637939453125,0.011212497651359683,0.30985083878040315,0.22724527995548172,0.22102030366659164,0.03854755668762909,0.03310765158385039,0.01741319435489426,0.23026698529720308,0.05657965826452555,0.14514491856098174,0.05393970430855018,0.15444541573524476,0.0536806077454879
cross,PA,VA,score_only,10,0.8506064322503615,0.0034438549090802764,0.8724975743054593,0.0018656043327912365,0.014613095269738308,0.012411119928555299,0.005381360023802473,0.003645967426273768,0.024850361390578023,0.021550592126778963,0.057639026641845705,0.013431611792934202,0.8506064322503615,0.0034438549090802764,0.8658838438842796,0.010626839974422186,0.01627280587573753,0.008775485402905379,0.00354357992183727,0.003410996722631459,0.029002031829637787,0.015303857607549421,0.03549144864082336,0.005582856569087304,0.1838416263461113,0.049108522936483726,0.5317014870047567,0.14683644998420348,0.31023091077804565,0.046410313319039144,0.028437515161931513,0.004107116931789262,0.0181396484375,0.003956450968441192,0.10738357789814472,0.061444727088484516,0.23974403440952302,0.029296265651894842,0.03882091697305441,0.014210097482151381,0.19156229943037034,0.046553821563348,0.06984293349087238,0.016746842140908852,0.08234192542731762,0.026714040040715627
cross,PA,VA,wrong_spec,10,0.8447322271545901,0.0049352159606646595,0.8647096097106989,0.0026119096179702287,0.21904325136727695,0.046720971008561964,0.15121123725158736,0.03882387476106171,0.2868752654829666,0.05572634801005984,0.23619627952575684,0.04301332394711984,0.8447322271545901,0.0049352159606646595,0.8568364982871627,0.012833328459659387,0.01633986879887451,0.008887223943468836,0.002958777894523601,0.0028500741205991637,0.029720959703225414,0.01814455343390687,0.03314066529273987,0.01695837376444745,0.7669340372085571,0.09423050557767217,1.279157806634903,0.18292932647494844,1.0475487649440764,0.24478503531892185,0.1372320108115673,0.03631530911820441,0.13433837890625,0.03518638967219384,1.3163069754838943,0.31282050418641116,0.6784917503595352,0.10194976879537727,0.09759733155369758,0.02521936272145385,0.6900932282209397,0.12039061021775879,0.095624815300107,0.025394097665982766,0.11630183234810829,0.032356563978071524
cross,VA,MD,adv,10,0.8579639618208684,0.002402084707684843,0.8643625062993449,0.0020619263674376644,0.03933569293918409,0.013033440584710045,0.02230391130406484,0.006502118741599424,0.05636747457430334,0.02047324685955034,0.09122243523597717,0.008997172056033904,0.8579639618208684,0.002402084707684843,0.848986505403438,0.009564141662151592,0.01781804489665173,0.007028413303751693,0.0016986576200729298,0.0017836729047633652,0.03393743217323053,0.013353031537465266,0.036149799823760986,0.008316295424392143,0.21848202347755433,0.055039010100481504,0.5966805359721182,0.15646273373751293,0.3916646778583527,0.08202703347151284,0.04176761843264103,0.008764649020974563,0.0279052734375,0.006351098325565378,0.3753995642066002,0.17383881190252914,0.2866119846701622,0.05113614550491178,0.03194147124886513,0.01418244761415041,0.2554832771420479,0.05315929081976987,0.10946316756308079,0.03335256785737094,0.1132017370313406,0.03724254193391317
cross,VA,MD,blind,10,0.8572992307679261,0.002439844293836769,0.8648860518506074,0.001440392072579366,0.015426721351717331,0.007566443855219383,0.012026094115726148,0.004465483837109952,0.020136511046497517,0.009677405509143533,0.07453719973564148,0.006572951900944992,0.8572992307679261,0.002439844293836769,0.8530152864102133,0.00804339233636445,0.010030683922312883,0.00547694337401613,0.0018133893517513489,0.0015926798657958385,0.018430286452101742,0.011120661770259218,0.04442151188850403,0.007611041590417342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2690815158188343,0.09387594545177452,0.23560772687196732,0.031248951567594323,0.046811458002775905,0.020143858199934788,0.20133053213357927,0.02998733188234028,0.09510710388422013,0.019808491307088675,0.11529280468821526,0.022033859804070768
cross,VA,MD,erm,10,0.8611491162303923,0.0021261027844252053,0.8654487933254942,0.001324238929168699,0.03733978769902718,0.01287234808851354,0.021674104762830826,0.006443400141197567,0.05300547063522354,0.02103973030294026,0.09084298014640808,0.009403079177635562,0.8611491162303923,0.0021261027844252053,0.8497144296993113,0.00972526638951714,0.0185226900824375,0.006589000629608147,0.001889683620016691,0.002430877360710167,0.035155696544858304,0.011597914384162035,0.03790974020957947,0.010876420910174163,0.272832827270031,0.03369478715149293,0.7806849634647369,0.10459066348136771,0.5869279652833939,0.053627916860039364,0.05624940693378448,0.005239244478265529,0.0297607421875,0.003206937841474049,0.5763441726565361,0.09008065956263085,0.3396114081144333,0.03555509225796055,0.04900355469435454,0.018466107054101764,0.3110858708620071,0.046511683687926735,0.13787805959582328,0.024520483791359297,0.16165541410446166,0.02799630874178106
