"source_state","target_state","metric_group","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","no_interaction",120,0.0380740994465942,0.0292643815992784,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","repair_main0",120,0.030000628453323,0.0225548346345669,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","repair_main05",120,0.0290569616619739,0.0208761519208202,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","repair_main05",120,0.0180709640789837,0.0130050721196715,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","repair_main0",120,0.0195442535503266,0.0149317056176716,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","no_interaction",120,0.0247284955983498,0.0198855256362254,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","reweight",120,0.0330304263385646,0.0220137007339677,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","score_only",120,0.0415760660925294,0.0331021850482163,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","blind",120,0.0478167699829117,0.0267115650509846,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","adv",120,0.0898176402176601,0.03935560751759,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","erm",120,0.0940294827355631,0.0378334635521751,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_aod_gap","lower","wrong_spec",120,0.22275449822431,0.0657253572892676,7,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","repair_main05",120,0.0293688926886462,0.0205505065476037,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","repair_main0",120,0.0306648894695071,0.0223065598680856,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","no_interaction",120,0.0384876718195524,0.0288886239542199,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","reweight",120,0.0441065124644046,0.0280697140724845,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","score_only",120,0.0598037506693744,0.0438651154396402,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","blind",120,0.0669720801231926,0.0351182041212392,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","adv",120,0.120952436443117,0.0492813843230183,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","erm",120,0.127095125081144,0.0474260800626186,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eodds_max_gap","lower","wrong_spec",120,0.295206606831679,0.0742530149603024,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","wrong_spec",120,0.911104999585038,0.0180653747742878,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","repair_main05",120,0.89707948224275,0.0269731947176145,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","repair_main0",120,0.891741694894887,0.0316165313880281,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","no_interaction",120,0.890312038095615,0.0253802725047936,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","erm",120,0.880690178239217,0.0220600545970381,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","score_only",120,0.880652281260158,0.0266509116475366,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","adv",120,0.878603288809915,0.0243894866235945,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","blind",120,0.876219342991252,0.0259408030224497,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s0","descriptive_higher","reweight",120,0.752319810693987,0.0501649606272237,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","repair_main05",120,0.833693686918064,0.0474382176565937,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","no_interaction",120,0.82479491552202,0.057351962504044,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","repair_main0",120,0.823910256982793,0.0539269964628409,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","score_only",120,0.785063854626389,0.0686792900623085,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","blind",120,0.769493272774898,0.0584093324614316,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","adv",120,0.733232147023564,0.0680248598841544,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","erm",120,0.731895896175301,0.0647035453988268,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","wrong_spec",120,0.679673436262312,0.115791317565355,5,"ScottKnottESD","2.0.3"
