experiment,dataset,state,seed,model,feature,metric,value,panel,panel_title,model_label,feature_label,feature_order,model_order
hmda_race,hmda,PA,0,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.0027673803269863,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,1,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.006241756491363,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,2,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.0073694884777069,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,3,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.0099933482706546,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,4,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.0077753448858857,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,5,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.0086049241945147,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,6,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.0057280235923826,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,7,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.0020193052478134,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,8,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.0047642183490097,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,9,steering,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.005324394442141,hmda_pa,HMDA-PA Race,"Interaction
steering",DTI,1,4
hmda_race,hmda,PA,0,erm,loan_amount,pair_abs_mean__loan_amount,0.4819135665893554,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,1,erm,loan_amount,pair_abs_mean__loan_amount,0.4082332849502563,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,2,erm,loan_amount,pair_abs_mean__loan_amount,0.6643449068069458,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,3,erm,loan_amount,pair_abs_mean__loan_amount,0.4476117789745331,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,4,erm,loan_amount,pair_abs_mean__loan_amount,0.4573124349117279,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,5,erm,loan_amount,pair_abs_mean__loan_amount,0.3849434554576874,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,6,erm,loan_amount,pair_abs_mean__loan_amount,0.3006412088871002,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,7,erm,loan_amount,pair_abs_mean__loan_amount,0.374293565750122,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,8,erm,loan_amount,pair_abs_mean__loan_amount,0.4062166213989258,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,9,erm,loan_amount,pair_abs_mean__loan_amount,0.3762694895267486,hmda_pa,HMDA-PA Race,ERM,Loan amt.,2,0
hmda_race,hmda,PA,0,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.41057080030441284,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,1,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.22134938836097717,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,2,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.3751307725906372,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,3,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.5136117935180664,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,4,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.34899815917015076,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,5,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.21135810017585754,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,6,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.33973100781440735,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,7,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.4286004900932312,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,8,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.33317074179649353,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,9,fairsmote,loan_amount,pair_abs_mean__loan_amount,0.42156150937080383,hmda_pa,HMDA-PA Race,Fair-SMOTE,Loan amt.,2,1
hmda_race,hmda,PA,0,score_only,loan_amount,pair_abs_mean__loan_amount,0.1420254409313202,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,1,score_only,loan_amount,pair_abs_mean__loan_amount,0.1549849212169647,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,2,score_only,loan_amount,pair_abs_mean__loan_amount,0.1165609285235405,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,3,score_only,loan_amount,pair_abs_mean__loan_amount,0.2123279869556427,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,4,score_only,loan_amount,pair_abs_mean__loan_amount,0.1207422167062759,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,5,score_only,loan_amount,pair_abs_mean__loan_amount,0.3277264833450317,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,6,score_only,loan_amount,pair_abs_mean__loan_amount,0.1503891348838806,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,7,score_only,loan_amount,pair_abs_mean__loan_amount,0.1904638558626175,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,8,score_only,loan_amount,pair_abs_mean__loan_amount,0.197968453168869,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,9,score_only,loan_amount,pair_abs_mean__loan_amount,0.2274667620658874,hmda_pa,HMDA-PA Race,Score-gap,Loan amt.,2,2
hmda_race,hmda,PA,0,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.1318457573652267,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,1,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.2000107169151306,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,2,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.0820315331220626,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,3,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.1828634738922119,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
